,net_value,daily_return
2008-01-02,1.0,0.0
2008-01-03,1.0,-0.0
2008-01-04,1.0,0.0
2008-01-07,1.0,0.0
2008-01-08,1.0,-0.0
2008-01-09,1.0,0.0
2008-01-10,1.0,0.0
2008-01-11,1.0,0.0
2008-01-14,1.0,0.0
2008-01-15,1.0,-0.0
2008-01-16,1.0,-0.0
2008-01-17,1.0,-0.0
2008-01-18,1.0,0.0
2008-01-21,1.0,-0.0
2008-01-22,1.0,-0.0
2008-01-23,1.0,0.0
2008-01-24,1.0,0.0
2008-01-25,1.0,0.0
2008-01-28,1.0,-0.0
2008-01-29,1.0,0.0
2008-01-30,1.0,-0.0
2008-01-31,1.0,-0.0
2008-02-01,1.0,-0.0
2008-02-04,1.0,0.0
2008-02-05,1.0,-0.0
2008-02-13,1.0,-0.0
2008-02-14,1.0,0.0
2008-02-15,1.0,-0.0
2008-02-18,1.0,0.0
2008-02-19,1.0,0.0
2008-02-20,1.0,-0.0
2008-02-21,1.0,-0.0
2008-02-22,1.0,-0.0
2008-02-25,1.0,-0.0
2008-02-26,1.0,-0.0
2008-02-27,1.0,0.0
2008-02-28,1.0,0.0
2008-02-29,1.0,0.0
2008-03-03,1.0,0.0
2008-03-04,1.0,-0.0
2008-03-05,1.0,-0.0
2008-03-06,1.0,0.0
2008-03-07,1.0,-0.0
2008-03-10,1.0,-0.0
2008-03-11,1.0,-0.0
2008-03-12,1.0,-0.0
2008-03-13,1.0,-0.0
2008-03-14,1.0,-0.0
2008-03-17,1.0,-0.0
2008-03-18,1.0,-0.0
2008-03-19,1.0,0.0
2008-03-20,1.0,0.0
2008-03-21,1.0,0.0
2008-03-24,1.0,-0.0
2008-03-25,1.0,0.0
2008-03-26,1.0,0.0
2008-03-27,1.0,-0.0
2008-03-28,1.0,0.0
2008-03-31,1.0,-0.0
2008-04-01,1.0,-0.0
2008-04-02,1.0,-0.0
2008-04-03,1.0,0.0
2008-04-07,1.0,0.0
2008-04-08,1.0,0.0
2008-04-09,1.0,-0.0
2008-04-10,1.0,0.0
2008-04-11,1.0,0.0
2008-04-14,1.0,-0.0
2008-04-15,1.0,0.0
2008-04-16,1.0,-0.0
2008-04-17,1.0,-0.0
2008-04-18,1.0,-0.0
2008-04-21,1.0,0.0
2008-04-22,1.0,0.0
2008-04-23,1.0,0.0
2008-04-24,1.0,0.0
2008-04-25,1.0,-0.0
2008-04-28,1.0,-0.0
2008-04-29,1.0,0.0
2008-04-30,1.0,0.0
2008-05-05,1.0,0.0
2008-05-06,1.0,-0.0
2008-05-07,1.0,-0.0
2008-05-08,1.0,0.0
2008-05-09,1.0,-0.0
2008-05-12,1.0,0.0
2008-05-13,1.0,-0.0
2008-05-14,1.0,0.0
2008-05-15,1.0,-0.0
2008-05-16,1.0,-0.0
2008-05-19,1.0,-0.0
2008-05-20,1.0,-0.0
2008-05-21,1.0,0.0
2008-05-22,1.0,-0.0
2008-05-23,1.0,-0.0
2008-05-26,1.0,-0.0
2008-05-27,1.0,0.0
2008-05-28,1.0,0.0
2008-05-29,1.0,-0.0
2008-05-30,1.0,0.0
2008-06-02,1.0,0.0
2008-06-03,1.0,-0.0
2008-06-04,1.0,-0.0
2008-06-05,1.0,-0.0
2008-06-06,1.0,-0.0
2008-06-10,1.0,-0.0
2008-06-11,1.0,-0.0
2008-06-12,1.0,-0.0
2008-06-13,1.0,-0.0
2008-06-16,1.0,-0.0
2008-06-17,1.0,-0.0
2008-06-18,1.0,0.0
2008-06-19,1.0,-0.0
2008-06-20,1.0,0.0
2008-06-23,1.0,-0.0
2008-06-24,1.0,0.0
2008-06-25,1.0,0.0
2008-06-26,1.0,0.0
2008-06-27,1.0,-0.0
2008-06-30,1.0,-0.0
2008-07-01,1.0,-0.0
2008-07-02,1.0,-0.0
2008-07-03,1.0,0.0
2008-07-04,1.0,-0.0
2008-07-07,1.0,0.0
2008-07-08,1.0,0.0
2008-07-09,1.0,0.0
2008-07-10,1.0,-0.0
2008-07-11,1.0,-0.0
2008-07-14,1.0,0.0
2008-07-15,1.0,-0.0
2008-07-16,1.0,-0.0
2008-07-17,1.0,-0.0
2008-07-18,1.0,0.0
2008-07-21,1.0,0.0
2008-07-22,1.0,-0.0
2008-07-23,1.0,-0.0
2008-07-24,1.0,0.0
2008-07-25,1.0,-0.0
2008-07-28,1.0,0.0
2008-07-29,1.0,-0.0
2008-07-30,1.0,-0.0
2008-07-31,1.0,-0.0
2008-08-01,1.0,0.0
2008-08-04,1.0,-0.0
2008-08-05,1.0,-0.0
2008-08-06,1.0,0.0
2008-08-07,1.0,-0.0
2008-08-08,1.0,-0.0
2008-08-11,1.0,-0.0
2008-08-12,1.0,0.0
2008-08-13,1.0,0.0
2008-08-14,1.0,-0.0
2008-08-15,1.0,-0.0
2008-08-18,1.0,-0.0
2008-08-19,1.0,0.0
2008-08-20,1.0,0.0
2008-08-21,1.0,-0.0
2008-08-22,1.0,-0.0
2008-08-25,1.0,-0.0
2008-08-26,1.0,-0.0
2008-08-27,1.0,-0.0
2008-08-28,1.0,0.0
2008-08-29,1.0,0.0
2008-09-01,1.0,-0.0
2008-09-02,1.0,-0.0
2008-09-03,1.0,-0.0
2008-09-04,1.0,0.0
2008-09-05,1.0,-0.0
2008-09-08,1.0,-0.0
2008-09-09,1.0,0.0
2008-09-10,1.0,-0.0
2008-09-11,1.0,-0.0
2008-09-12,1.0,-0.0
2008-09-16,1.0,-0.0
2008-09-17,1.0,-0.0
2008-09-18,1.0,-0.0
2008-09-19,1.0,0.0
2008-09-22,1.0,0.0
2008-09-23,1.0,-0.0
2008-09-24,1.0,0.0
2008-09-25,1.0,0.0
2008-09-26,1.0,0.0
2008-10-06,1.0,-0.0
2008-10-07,1.0,-0.0
2008-10-08,1.0,-0.0
2008-10-09,1.0,-0.0
2008-10-10,1.0,-0.0
2008-10-13,1.0,0.0
2008-10-14,1.0,-0.0
2008-10-15,1.0,-0.0
2008-10-16,1.0,-0.0
2008-10-17,1.0,0.0
2008-10-20,1.0,0.0
2008-10-21,1.0,-0.0
2008-10-22,1.0,-0.0
2008-10-23,1.0,-0.0
2008-10-24,1.0,-0.0
2008-10-27,1.0,-0.0
2008-10-28,1.0,0.0
2008-10-29,1.0,-0.0
2008-10-30,1.0,0.0
2008-10-31,1.0,-0.0
2008-11-03,1.0,-0.0
2008-11-04,1.0,-0.0
2008-11-05,1.0,0.0
2008-11-06,1.0,-0.0
2008-11-07,1.0,0.0
2008-11-10,1.0,0.0
2008-11-11,1.0,-0.0
2008-11-12,1.0,0.0
2008-11-13,1.0,0.0
2008-11-14,1.0,0.0
2008-11-17,1.0,0.0
2008-11-18,1.0,-0.0
2008-11-19,1.0,0.0
2008-11-20,1.0,-0.0
2008-11-21,1.0,-0.0
2008-11-24,1.0,-0.0
2008-11-25,1.0,-0.0
2008-11-26,1.0,0.0
2008-11-27,1.0,0.0
2008-11-28,1.0,-0.0
2008-12-01,1.0,0.0
2008-12-02,1.0,0.0
2008-12-03,1.0,0.0
2008-12-04,1.0,0.0
2008-12-05,1.0,0.0
2008-12-08,1.0,0.0
2008-12-09,1.0,-0.0
2008-12-10,1.0,0.0
2008-12-11,1.0,-0.0
2008-12-12,1.0,-0.0
2008-12-15,1.0,0.0
2008-12-16,1.0,0.0
2008-12-17,1.0,0.0
2008-12-18,1.0,0.0
2008-12-19,1.0,0.0
2008-12-22,1.0,-0.0
2008-12-23,1.0,-0.0
2008-12-24,1.0,-0.0
2008-12-25,1.0,-0.0
2008-12-26,1.0,-0.0
2008-12-29,1.0,0.0
2008-12-30,1.0,-0.0
2008-12-31,1.0,-0.0
2009-01-05,1.0,0.0
2009-01-06,1.0,0.0
2009-01-07,1.0,-0.0
2009-01-08,1.0,-0.0
2009-01-09,1.0,0.0
2009-01-12,1.0,-0.0
2009-01-13,1.0,-0.0
2009-01-14,1.0,0.0
2009-01-15,1.0,0.0
2009-01-16,1.0,0.0
2009-01-19,1.0,0.0
2009-01-20,1.0,0.0
2009-01-21,1.0,-0.0
2009-01-22,1.0,0.0
2009-01-23,1.0,-0.0
2009-02-02,1.0,0.0
2009-02-03,1.0,0.0
2009-02-04,1.0,0.0
2009-02-05,1.0,-0.0
2009-02-06,1.0,0.0
2009-02-09,1.0,0.0
2009-02-10,0.9997960032349875,-0.00020399676501250876
2009-02-11,0.9997960032349875,-0.0
2009-02-12,0.991920362723988,-0.007877247443995344
2009-02-13,1.0167250694193597,0.02500675218245703
2009-02-16,1.0385191392792164,0.021435558653336736
2009-02-17,1.0108918677213425,-0.026602563701472577
2009-02-18,0.977378296159152,-0.03315247914471187
2009-02-19,0.9888950588737959,0.011783321524431204
2009-02-20,1.004118306158261,0.015394198957574207
2009-02-23,1.024830358783449,0.020627103896185443
2009-02-24,0.990186498799045,-0.03380448255409708
2009-02-25,0.9905672842054117,0.00038455927931606537
2009-02-26,0.9539357652446248,-0.03698034403606529
2009-02-27,0.9380914905665484,-0.016609372722295714
2009-03-02,0.9531186825662143,0.01601889810405435
2009-03-03,0.9506252900710881,-0.0026160356949598645
2009-03-04,0.9989618293779458,0.050847100126320995
2009-03-05,1.0024811702668224,0.003522998362277933
2009-03-06,0.9928273040745982,-0.00962997259056223
2009-03-09,0.9640758708221607,-0.028959148418300485
2009-03-10,0.9783466904446754,0.014802589769562885
2009-03-11,0.9709268519437284,-0.007584058466610159
2009-03-12,0.9707937348611515,-0.00013710310134113993
2009-03-13,0.9684375439337021,-0.0024270767752600352
2009-03-16,0.9795011144606617,0.011424144588633283
2009-03-17,1.0061937815642938,0.027251288140013753
2009-03-18,1.0101308538838503,0.003912837061501008
2009-03-19,1.0230370841661431,0.01277679048478687
2009-03-20,1.017123306716608,-0.0057806090718159585
2009-03-23,1.0347625269377134,0.017342263326997013
2009-03-24,1.0401585030716187,0.005214699985197881
2009-03-25,1.0230439535274476,-0.016453789969155055
2009-03-26,1.0426845714475448,0.01919821514254247
2009-03-27,1.0469580568126091,0.004098540903057092
2009-03-30,1.0406993260305393,-0.005978014822412397
2009-03-31,1.0482030821344497,0.007210301684859654
2009-04-01,1.0639899883627126,0.01506092330516346
2009-04-02,1.076311023325226,0.011580029039063806
2009-04-03,1.0775185456475118,0.0011219083481607112
2009-04-07,1.0805180429782086,0.0027837083109268686
2009-04-08,1.0495580172371621,-0.028652946558589642
2009-04-09,1.0636131017830324,0.013391431740827863
2009-04-10,1.0935020641358149,0.028101348415769802
2009-04-13,1.1151468646311087,0.01979401887311418
2009-04-14,1.1253500940692807,0.009149673250928407
2009-04-15,1.1343250074428395,0.007975218930409051
2009-04-16,1.1352872750007128,0.0008483173266562711
2009-04-17,1.1234920246656157,-0.010389661361341148
2009-04-20,1.141340110602061,0.01588625957692709
2009-04-21,1.1287097687224308,-0.011066238505337183
2009-04-22,1.0928455759851996,-0.031774503713053966
2009-04-23,1.0998421133030574,0.006402128051395094
2009-04-24,1.0949386889405275,-0.0044582984259475935
2009-04-27,1.072973813340126,-0.020060370340603186
2009-04-28,1.0726344297600003,-0.0003163018294633584
2009-04-29,1.1005039855476686,0.025982343111906087
2009-04-30,1.1093272159972871,0.008017445248258528
2009-05-04,1.1407682826880634,0.02834246400644804
2009-05-05,1.1444584293174846,0.0032347906980075554
2009-05-06,1.1565473912629536,0.010563041553792653
2009-05-07,1.1570618507271377,0.00044482350491708726
2009-05-08,1.1635379875115748,0.005597053243408905
2009-05-11,1.1403956662518966,-0.019889613839916005
2009-05-12,1.1660802081694872,0.02252248292209608
2009-05-13,1.170359634603788,0.003669924593796585
2009-05-14,1.1617064672610595,-0.007393596879866575
2009-05-15,1.1655536809084166,0.0033116916844129246
2009-05-18,1.1735028315466385,0.006820063947656632
2009-05-19,1.1840699514755366,0.009004767304200589
2009-05-20,1.1727952873322733,-0.009521957827924933
2009-05-21,1.149385989273787,-0.019960259314935388
2009-05-22,1.1449728887816684,-0.0038395286990637596
2009-05-25,1.1499498338759981,0.004346779860984772
2009-05-26,1.1419373737187262,-0.0069676606067807555
2009-05-27,1.1561354152430956,0.012433292622811258
2009-06-01,1.1863030508747454,0.026093513989714223
2009-06-02,1.1897514702496133,0.002906862097610695
2009-06-03,1.2119330092187273,0.018643842452626132
2009-06-04,1.212756404283201,0.0006794064178552783
2009-06-05,1.2076027123790902,-0.004249568904282021
2009-06-08,1.2119714405103494,0.003617686583903511
2009-06-09,1.2184551892897457,0.005349753767024451
2009-06-10,1.228975337639994,0.00863400512609781
2009-06-11,1.2217651074880413,-0.005866863175463111
2009-06-12,1.2027646397781597,-0.015551653581715683
2009-06-15,1.2238689886313598,0.017546532509546377
2009-06-16,1.2215265364265193,-0.0019139730041366797
2009-06-17,1.241595839623701,0.01642969071788893
2009-06-18,1.2593368006554788,0.014288837370101481
2009-06-19,1.2648891011736652,0.004408908335956239
2009-06-22,1.2590802207278344,-0.004592402954884214
2009-06-23,1.2596763698940185,0.000473479891407809
2009-06-24,1.277009810707866,0.013760233364785409
2009-06-25,1.2776618430565543,0.000510593061400942
2009-06-26,1.2819397842235456,0.0033482577492941127
2009-06-29,1.302966156543019,0.01640199686306554
2009-06-30,1.2962007639501376,-0.005192301088488132
2009-07-01,1.322514316573126,0.020300522384200933
2009-07-02,1.3369707946092761,0.01093105598554845
2009-07-03,1.35409109956427,0.012805294643700275
2009-07-06,1.3662602659444296,0.008986962829956749
2009-07-07,1.3548565692036898,-0.008346650360103245
2009-07-08,1.3587054537767693,0.00284080592777569
2009-07-09,1.3773886312577477,0.013750719428589303
2009-07-10,1.381846661085966,0.003236580967092357
2009-07-13,1.3714278822295631,-0.007539750357116392
2009-07-14,1.405652154199151,0.024955210852172893
2009-07-15,1.4161975520936536,0.007502139034184215
2009-07-16,1.4179691046765643,0.0012509219354969149
2009-07-17,1.4243876873527743,0.004526602628393764
2009-07-20,1.4467372471862288,0.015690643798663428
2009-07-21,1.4327059269173041,-0.009698596131546488
2009-07-22,1.4578906763853876,0.01757844997701136
2009-07-23,1.4750180363600998,0.011748041366981482
2009-07-24,1.482120213315316,0.004814976346148573
2009-07-27,1.5042430842257215,0.014926502392757552
2009-07-28,1.5010142987541848,-0.0021464519301405338
2009-07-29,1.4378391963959152,-0.04208827484901638
2009-07-30,1.4638087239784365,0.018061496478616348
2009-07-31,1.49758797273054,0.023076272329007372
2009-08-03,1.5190032994265799,0.01429987892931165
2009-08-04,1.5210778465405441,0.0013657291690856495
2009-08-05,1.4987940097855168,-0.014650030441051074
2009-08-06,1.4693417160216051,-0.019650661512936304
2009-08-07,1.4348798012825636,-0.023453982394476994
2009-08-10,1.434038397351967,-0.0005863933200847579
2009-08-11,1.440198357857983,0.004295533869518785
2009-08-12,1.3872968494766533,-0.03673209880617445
2009-08-13,1.4000510255181784,0.009193545019825155
2009-08-14,1.3683106774646214,-0.022670850901172955
2009-08-17,1.3030196261661464,-0.047716540091212574
2009-08-18,1.3115268659957573,0.006528865458950599
2009-08-19,1.2666547126873402,-0.03421367451313978
2009-08-20,1.311789386992638,0.03563297389036663
2009-08-21,1.333520518650272,0.01656602185771152
2009-08-24,1.3451302962301477,0.008706110942804558
2009-08-25,1.3103252847427076,-0.02587482534962167
2009-08-26,1.33068978481757,0.015541560795616584
2009-08-27,1.326171601663334,-0.003395369233149602
2009-08-28,1.2865636070151407,-0.02986641743686521
2009-08-31,1.2159402604186378,-0.054893008174194256
2009-09-01,1.2249110893070967,0.007377688839228281
2009-09-02,1.2409345243543317,0.013081304583746466
2009-09-03,1.2898638709759276,0.039429434560259456
2009-09-04,1.3003892177617573,0.008160044654841204
2009-09-07,1.3116044712126569,0.008624535867963835
2009-09-08,1.337016652237444,0.019374881362894537
2009-09-09,1.3466942827066137,0.007238227327217374
2009-09-10,1.3363672191065468,-0.0076684543275193
2009-09-11,1.360801165949888,0.01828385678277644
2009-09-14,1.377839781202882,0.012521017529479006
2009-09-15,1.3785274599669881,0.0004990992229197815
2009-09-16,1.3630002898594014,-0.011263591447034711
2009-09-17,1.3831917562927554,0.014813985428746158
2009-09-18,1.3439173898138654,-0.02839401427908547
2009-09-21,1.3565911757622864,0.00943047991229316
2009-09-22,1.339548104707365,-0.012563159306520395
2009-09-23,1.3176819993830178,-0.016323493906270754
2009-09-24,1.3173075263627148,-0.00028419073834072594
2009-09-25,1.3115547147578017,-0.004367098410799602
2009-09-28,1.286071426560592,-0.019429832328356683
2009-09-29,1.2861952607224867,9.628871253758277e-05
2009-09-30,1.2993003311657834,0.01018902093911869
2009-10-09,1.3497997909914956,0.038866656626187525
2009-10-12,1.3520221222027138,0.001646415435866827
2009-10-13,1.3659862341259024,0.010328316152429618
2009-10-14,1.3679634962311216,0.0014474978267146048
2009-10-15,1.3716985721966426,0.0027303915461279736
2009-10-16,1.3759466223590389,0.0030969268675358065
2009-10-19,1.402627036007371,0.019390587697790965
2009-10-20,1.4184174697454928,0.011257756575882039
2009-10-21,1.4091079999105625,-0.006563279170976869
2009-10-22,1.400142555116099,-0.006362496554580907
2009-10-23,1.422930825780974,0.01627567891684109
2009-10-26,1.4312299425288995,0.005832410541369983
2009-10-27,1.4009228774286095,-0.021175538744486508
2009-10-28,1.4034144133395994,0.0017784961264698726
2009-10-29,1.3780783522644027,-0.01805315723878482
2009-10-30,1.3944916699802723,0.011910293553991117
2009-11-02,1.440783367519347,0.03319610904504706
2009-11-03,1.455186004615543,0.009996393226688506
2009-11-04,1.46034563758889,0.003545686226353071
2009-11-05,1.4645303782322365,0.0028655823221794535
2009-11-06,1.4676264179380238,0.0021140153538668415
2009-11-09,1.4707146599904384,0.0021042426156062393
2009-11-10,1.4784573584726977,0.005264582378140991
2009-11-11,1.4723646063124178,-0.004121019876132066
2009-11-12,1.4754322402809188,0.002083474402569381
2009-11-13,1.483089907209733,0.005190117661625855
2009-11-16,1.5208964582704199,0.02549174589948871
2009-11-17,1.5223512775996684,0.0009565538280646723
2009-11-18,1.5213884530665542,-0.0006324588465760355
2009-11-19,1.5217066715875258,0.00020916322871396514
2009-11-20,1.5165500091487967,-0.003388736170387768
2009-11-23,1.5279130466969504,0.007492688984606245
2009-11-24,1.482450128316345,-0.029754912086710307
2009-11-25,1.5163884863289336,0.02289342310026539
2009-11-26,1.4637435578752482,-0.03471730953400663
2009-11-27,1.4339559650163105,-0.020350281098539515
2009-11-30,1.4857231004903266,0.0361009241127062
2009-12-01,1.511103162609555,0.017082632767069603
2009-12-02,1.518704946355865,0.005030618646302281
2009-12-03,1.5192832723143401,0.00038080205102554774
2009-12-04,1.5238863013636075,0.003029737201184138
2009-12-07,1.5339380335362527,0.0065961168911688375
2009-12-08,1.5246781344977633,-0.0060366839051132545
2009-12-09,1.5050254487807797,-0.01288972752498826
2009-12-10,1.5114538713529124,0.004271304898758019
2009-12-11,1.5128078781635568,0.0008958307205448716
2009-12-14,1.5202020958034221,0.0048877440067547785
2009-12-15,1.5187879356667597,-0.0009302448276885644
2009-12-16,1.5089515672539318,-0.006476459406763575
2009-12-17,1.4761377422527338,-0.021746108830328004
2009-12-18,1.442148885151636,-0.023025532189988773
2009-12-21,1.4415495797924203,-0.00041556413861719785
2009-12-22,1.4139547984569327,-0.019142443466606984
2009-12-23,1.4289168243534125,0.010581686142165312
2009-12-24,1.470381774454789,0.029018449076026104
2009-12-25,1.4695947684393875,-0.0005352392345131997
2009-12-28,1.4882863005489793,0.012718834137822231
2009-12-29,1.4970781547266934,0.005907367537059987
2009-12-30,1.5131014041155144,0.010703014627680805
2009-12-31,1.5206424775605651,0.004983851990712484
2010-01-04,1.509168601939471,-0.007545413067442861
2010-01-05,1.5182149938022795,0.005994288412297253
2010-01-06,1.513379706077554,-0.003184850462197011
2010-01-07,1.484471762782422,-0.01910157984743767
2010-01-08,1.485448511696559,0.0006579774291605469
2010-01-11,1.4841271807667142,-0.0008895164789896437
2010-01-12,1.5043418545017728,0.013620580498104868
2010-01-13,1.4641533059941414,-0.026715037135586164
2010-01-14,1.4840989606878419,0.013622654548566973
2010-01-15,1.4912093066132583,0.00479101873511248
2010-01-18,1.5029405047956512,0.007866902473292685
2010-01-19,1.5011620828514358,-0.0011832949731148997
2010-01-20,1.4568012328141713,-0.029551006213134293
2010-01-21,1.4599941862118762,0.0021917563808873997
2010-01-22,1.4395093794849778,-0.014030745410054281
2010-01-25,1.4223419172929206,-0.011925912006352724
2010-01-26,1.39460807780562,-0.019498714866032354
2010-01-27,1.3787263001279895,-0.011387986295490456
2010-01-28,1.3811458005744888,0.0017548808971545088
2010-01-29,1.3848853323419374,0.0027075575698764444
2010-02-01,1.3704115880733192,-0.010451222155802792
2010-02-02,1.3666947066323345,-0.002712237311281326
2010-02-03,1.3970350045886653,0.022199762543232596
2010-02-04,1.3918757429321453,-0.0036930081490971424
2010-02-05,1.3667340662160252,-0.01806316177560236
2010-02-08,1.3665155462631762,-0.0001598847634303384
2010-02-09,1.3729235464098093,0.004689299118591118
2010-02-10,1.3922630263829896,0.014086348816547632
2010-02-11,1.3966248851529444,0.003132927246719082
2010-02-12,1.4111043848323852,0.010367493686649621
2010-02-22,1.4031947794362676,-0.005605258888807935
2010-02-23,1.3892833945025516,-0.009914079739738605
2010-02-24,1.4087606330186495,0.014019629539351035
2010-02-25,1.4248195288228886,0.01139930760971694
2010-02-26,1.4189402838382899,-0.0041263085363911715
2010-03-01,1.435192635709537,0.0114538659987043
2010-03-02,1.4280031992999118,-0.005009387750983561
2010-03-03,1.4349644615191788,0.004874822565299496
2010-03-04,1.405713421475648,-0.02038450486262429
2010-03-05,1.4086674324950041,0.002101431895169022
2010-03-08,1.4207400565000732,0.008570244279507618
2010-03-09,1.427605704636318,0.004832444967559997
2010-03-10,1.4196493133199641,-0.005573241470326512
2010-03-11,1.4170268882273611,-0.001847234431769794
2010-03-12,1.40212148814704,-0.010518784226435597
2010-03-15,1.3812601661572887,-0.014878398317196007
2010-03-16,1.38808274154157,0.004939384738258181
2010-03-17,1.414299194814227,0.01888680875287119
2010-03-18,1.4114784865358612,-0.0019944211866261856
2010-03-19,1.4179405132808622,0.0045781971221258945
2010-03-22,1.4203717102074203,0.0017145972653907948
2010-03-23,1.411935577550232,-0.005939383751846469
2010-03-24,1.4148093841348977,0.0020353666487048774
2010-03-25,1.401328726720816,-0.00952824992910578
2010-03-26,1.4209114192158592,0.01397437455012254
2010-03-29,1.450090052478072,0.0205351529079238
2010-03-30,1.454007073688956,0.002701226178464096
2010-03-31,1.448506014892933,-0.0037833782899463126
2010-04-01,1.4656491558328042,0.011835049881472768
2010-04-02,1.468848978591814,0.0021832119551089876
2010-04-06,1.4665965707175868,-0.0015334509585775218
2010-04-07,1.462198322898559,-0.0029989486589864062
2010-04-08,1.4507190631834697,-0.007850685871622295
2010-04-09,1.4669346546888171,0.011177623508830097
2010-04-12,1.4658298014692717,-0.0007531713945225951
2010-04-13,1.4780884552048033,0.00836294481340493
2010-04-14,1.4830668855664422,0.00336815455401756
2010-04-15,1.4752062939915245,-0.00530022728672522
2010-04-16,1.4648060809764851,-0.007050005858434334
2010-04-19,1.4102390309664303,-0.037252064091431634
2010-04-20,1.4239762683081563,0.009741070159086327
2010-04-21,1.4519787555199877,0.019664995713096673
2010-04-22,1.4427426207584433,-0.006361067423632249
2010-04-23,1.4334584004677677,-0.006435118888908255
2010-04-26,1.428514502571065,-0.0034489301503896684
2010-04-27,1.4038354866217249,-0.01727599958202908
2010-04-28,1.39965594441396,-0.002977230770695754
2010-04-29,1.3757004393025578,-0.017115281228225396
2010-04-30,1.368767582820577,-0.005039510262492583
2010-05-04,1.3645139629057716,-0.0031076275974041777
2010-05-05,1.3786394119904095,0.010352000396212343
2010-05-06,1.3366243560094309,-0.03047573978776605
2010-05-07,1.3152170126251772,-0.016015975833454512
2010-05-10,1.3101723022098706,-0.0038356486928627243
2010-05-11,1.287348942104818,-0.01742012105320521
2010-05-12,1.2838826995222414,-0.002692543155323054
2010-05-13,1.3138836138984464,0.0233673328469719
2010-05-14,1.3164341891849722,0.0019412490265846552
2010-05-17,1.2666190662719208,-0.03784095196121637
2010-05-18,1.2827041399124823,0.01269921957507337
2010-05-19,1.2863337618990585,0.0028296642020846897
2010-05-20,1.2715345584313371,-0.011504948331506752
2010-05-21,1.2878708279055477,0.012847680281976952
2010-05-24,1.3256179682738711,0.029309725440175675
2010-05-25,1.3070562113954105,-0.014002342547174796
2010-05-26,1.3076959902887988,0.0004894807796409149
2010-05-27,1.3268830447043842,0.014672412057597619
